Image,Line Count,Closed Contours Count,Contour Entropy,Score
5.webp,407,80,2.539927678207789,354.9783034623367
6.webp,757,154,3.4038238323481185,264.1471497044355
8.webp,570,70,0.5948787315262047,-391.53638054213855
1.webp,1526,55,2.1587707562369154,-878.3687731289253
2.webp,1403,36,1.259801036563573,-1025.059689030928
7.webp,1753,51,1.9301073348291777,-1173.9677995512466
4.webp,2082,67,1.9658627267139297,-1492.2411819858212
3.webp,2372,15,1.922844861770661,-1795.1465414688018
